Écarté: OG0040645.fa (1 séquences, 1 espèces)
Écarté: OG0033401.fa (1 séquences, 1 espèces)
Écarté: OG0057684.fa (1 séquences, 1 espèces)
Écarté: OG0064744.fa (1 séquences, 1 espèces)
Écarté: OG0040372.fa (1 séquences, 1 espèces)
Écarté: OG0005512.fa (37 séquences, 15 espèces)
Écarté: OG0043754.fa (1 séquences, 1 espèces)
Écarté: OG0026327.fa (1 séquences, 1 espèces)
Écarté: OG0033095.fa (1 séquences, 1 espèces)
Écarté: OG0065645.fa (1 séquences, 1 espèces)
Écarté: OG0034455.fa (1 séquences, 1 espèces)
Écarté: OG0000669.fa (166 séquences, 17 espèces)
Écarté: OG0017673.fa (3 séquences, 2 espèces)
Écarté: OG0027592.fa (1 séquences, 1 espèces)
Écarté: OG0037469.fa (1 séquences, 1 espèces)
Écarté: OG0011870.fa (8 séquences, 4 espèces)
Écarté: OG0016659.fa (3 séquences, 1 espèces)
Écarté: OG0014300.fa (5 séquences, 1 espèces)
Écarté: OG0030995.fa (1 séquences, 1 espèces)
Écarté: OG0054757.fa (1 séquences, 1 espèces)
Écarté: OG0071407.fa (1 séquences, 1 espèces)
Écarté: OG0013773.fa (5 séquences, 2 espèces)
Écarté: OG0039226.fa (1 séquences, 1 espèces)
Écarté: OG0064896.fa (1 séquences, 1 espèces)
Écarté: OG0012277.fa (7 séquences, 6 espèces)
Écarté: OG0047154.fa (1 séquences, 1 espèces)
Écarté: OG0002193.fa (73 séquences, 17 espèces)
Écarté: OG0005782.fa (35 séquences, 17 espèces)
Écarté: OG0073217.fa (1 séquences, 1 espèces)
Écarté: OG0022027.fa (2 séquences, 1 espèces)
Écarté: OG0052184.fa (1 séquences, 1 espèces)
Écarté: OG0061308.fa (1 séquences, 1 espèces)
Écarté: OG0010382.fa (15 séquences, 2 espèces)
Écarté: OG0001915.fa (81 séquences, 17 espèces)
Écarté: OG0041009.fa (1 séquences, 1 espèces)
Écarté: OG0045238.fa (1 séquences, 1 espèces)
Écarté: OG0048932.fa (1 séquences, 1 espèces)
Écarté: OG0037806.fa (1 séquences, 1 espèces)
Écarté: OG0030311.fa (1 séquences, 1 espèces)
Écarté: OG0069551.fa (1 séquences, 1 espèces)
Écarté: OG0020819.fa (2 séquences, 1 espèces)
Écarté: OG0035390.fa (1 séquences, 1 espèces)
Écarté: OG0044436.fa (1 séquences, 1 espèces)
Écarté: OG0031112.fa (1 séquences, 1 espèces)
Écarté: OG0040386.fa (1 séquences, 1 espèces)
Écarté: OG0029375.fa (1 séquences, 1 espèces)
Écarté: OG0049177.fa (1 séquences, 1 espèces)
Écarté: OG0010765.fa (12 séquences, 6 espèces)
Écarté: OG0039408.fa (1 séquences, 1 espèces)
Écarté: OG0064245.fa (1 séquences, 1 espèces)
Écarté: OG0036245.fa (1 séquences, 1 espèces)
Écarté: OG0010593.fa (13 séquences, 10 espèces)
Écarté: OG0010793.fa (12 séquences, 8 espèces)
Écarté: OG0055793.fa (1 séquences, 1 espèces)
Écarté: OG0037698.fa (1 séquences, 1 espèces)
Écarté: OG0046069.fa (1 séquences, 1 espèces)
Écarté: OG0046037.fa (1 séquences, 1 espèces)
Écarté: OG0050930.fa (1 séquences, 1 espèces)
Écarté: OG0042842.fa (1 séquences, 1 espèces)
Écarté: OG0019951.fa (2 séquences, 1 espèces)
Écarté: OG0007762.fa (28 séquences, 15 espèces)
Écarté: OG0019294.fa (2 séquences, 1 espèces)
Écarté: OG0023503.fa (2 séquences, 1 espèces)
Écarté: OG0026854.fa (1 séquences, 1 espèces)
Écarté: OG0000755.fa (154 séquences, 17 espèces)
Écarté: OG0060608.fa (1 séquences, 1 espèces)
Écarté: OG0046949.fa (1 séquences, 1 espèces)
Écarté: OG0051955.fa (1 séquences, 1 espèces)
Écarté: OG0044613.fa (1 séquences, 1 espèces)
Écarté: OG0047676.fa (1 séquences, 1 espèces)
Écarté: OG0032482.fa (1 séquences, 1 espèces)
Écarté: OG0027688.fa (1 séquences, 1 espèces)
Écarté: OG0044905.fa (1 séquences, 1 espèces)
Écarté: OG0052716.fa (1 séquences, 1 espèces)
Écarté: OG0044268.fa (1 séquences, 1 espèces)
Écarté: OG0068697.fa (1 séquences, 1 espèces)
Écarté: OG0021918.fa (2 séquences, 1 espèces)
Écarté: OG0065244.fa (1 séquences, 1 espèces)
Écarté: OG0000383.fa (232 séquences, 17 espèces)
Écarté: OG0062784.fa (1 séquences, 1 espèces)
Écarté: OG0015404.fa (4 séquences, 1 espèces)
Écarté: OG0019312.fa (2 séquences, 2 espèces)
Écarté: OG0013010.fa (6 séquences, 1 espèces)
Écarté: OG0021889.fa (2 séquences, 1 espèces)
Écarté: OG0031412.fa (1 séquences, 1 espèces)
Écarté: OG0044898.fa (1 séquences, 1 espèces)
Écarté: OG0013935.fa (5 séquences, 4 espèces)
Retenu: OG0007591.fa (29 séquences, 17 espèces)
Écarté: OG0067423.fa (1 séquences, 1 espèces)
Écarté: OG0024737.fa (2 séquences, 1 espèces)
Écarté: OG0030365.fa (1 séquences, 1 espèces)
Écarté: OG0001049.fa (123 séquences, 17 espèces)
Écarté: OG0015213.fa (4 séquences, 2 espèces)
Écarté: OG0031315.fa (1 séquences, 1 espèces)
Écarté: OG0050994.fa (1 séquences, 1 espèces)
Écarté: OG0004585.fa (42 séquences, 17 espèces)
Écarté: OG0003073.fa (57 séquences, 16 espèces)
Écarté: OG0053131.fa (1 séquences, 1 espèces)
Écarté: OG0004830.fa (41 séquences, 17 espèces)
Écarté: OG0051889.fa (1 séquences, 1 espèces)
Écarté: OG0017154.fa (3 séquences, 3 espèces)
Écarté: OG0073024.fa (1 séquences, 1 espèces)
Écarté: OG0061118.fa (1 séquences, 1 espèces)
Écarté: OG0003162.fa (56 séquences, 16 espèces)
Écarté: OG0043896.fa (1 séquences, 1 espèces)
Écarté: OG0053712.fa (1 séquences, 1 espèces)
Écarté: OG0058114.fa (1 séquences, 1 espèces)
Écarté: OG0031324.fa (1 séquences, 1 espèces)
Écarté: OG0006119.fa (34 séquences, 16 espèces)
Écarté: OG0042729.fa (1 séquences, 1 espèces)
Écarté: OG0049398.fa (1 séquences, 1 espèces)
Écarté: OG0043848.fa (1 séquences, 1 espèces)
Écarté: OG0054376.fa (1 séquences, 1 espèces)
Écarté: OG0046147.fa (1 séquences, 1 espèces)
Écarté: OG0063203.fa (1 séquences, 1 espèces)
Écarté: OG0065319.fa (1 séquences, 1 espèces)
Écarté: OG0025562.fa (1 séquences, 1 espèces)
Écarté: OG0045114.fa (1 séquences, 1 espèces)
Écarté: OG0050445.fa (1 séquences, 1 espèces)
Écarté: OG0073311.fa (1 séquences, 1 espèces)
Écarté: OG0049997.fa (1 séquences, 1 espèces)
Écarté: OG0073373.fa (1 séquences, 1 espèces)
Écarté: OG0063624.fa (1 séquences, 1 espèces)
Écarté: OG0041637.fa (1 séquences, 1 espèces)
Écarté: OG0068062.fa (1 séquences, 1 espèces)
Écarté: OG0043495.fa (1 séquences, 1 espèces)
Écarté: OG0071836.fa (1 séquences, 1 espèces)
Écarté: OG0054391.fa (1 séquences, 1 espèces)
Écarté: OG0012082.fa (8 séquences, 4 espèces)
Écarté: OG0068919.fa (1 séquences, 1 espèces)
Écarté: OG0003908.fa (48 séquences, 16 espèces)
Retenu: OG0008320.fa (26 séquences, 17 espèces)
Écarté: OG0010230.fa (16 séquences, 9 espèces)
Écarté: OG0020861.fa (2 séquences, 1 espèces)
Écarté: OG0038742.fa (1 séquences, 1 espèces)
Écarté: OG0036123.fa (1 séquences, 1 espèces)
Écarté: OG0018051.fa (3 séquences, 1 espèces)
Écarté: OG0037963.fa (1 séquences, 1 espèces)
Écarté: OG0012735.fa (7 séquences, 1 espèces)
Écarté: OG0002492.fa (67 séquences, 1 espèces)
Écarté: OG0002212.fa (73 séquences, 15 espèces)
Écarté: OG0029735.fa (1 séquences, 1 espèces)
Écarté: OG0065511.fa (1 séquences, 1 espèces)
Écarté: OG0001345.fa (103 séquences, 17 espèces)
Écarté: OG0033395.fa (1 séquences, 1 espèces)
Écarté: OG0024619.fa (2 séquences, 1 espèces)
Écarté: OG0002500.fa (66 séquences, 17 espèces)
Écarté: OG0061066.fa (1 séquences, 1 espèces)
Écarté: OG0056766.fa (1 séquences, 1 espèces)
Écarté: OG0039902.fa (1 séquences, 1 espèces)
Écarté: OG0013536.fa (5 séquences, 4 espèces)
Écarté: OG0058290.fa (1 séquences, 1 espèces)
Écarté: OG0009735.fa (20 séquences, 2 espèces)
Écarté: OG0037606.fa (1 séquences, 1 espèces)
Écarté: OG0071562.fa (1 séquences, 1 espèces)
Écarté: OG0012147.fa (8 séquences, 2 espèces)
Écarté: OG0072238.fa (1 séquences, 1 espèces)
Écarté: OG0013207.fa (6 séquences, 4 espèces)
Écarté: OG0026514.fa (1 séquences, 1 espèces)
Écarté: OG0072299.fa (1 séquences, 1 espèces)
Retenu: OG0008837.fa (24 séquences, 17 espèces)
Écarté: OG0037158.fa (1 séquences, 1 espèces)
Écarté: OG0040981.fa (1 séquences, 1 espèces)
Écarté: OG0036954.fa (1 séquences, 1 espèces)
Écarté: OG0024693.fa (2 séquences, 1 espèces)
Écarté: OG0016022.fa (3 séquences, 3 espèces)
Écarté: OG0018805.fa (2 séquences, 1 espèces)
Écarté: OG0026344.fa (1 séquences, 1 espèces)
Écarté: OG0072437.fa (1 séquences, 1 espèces)
Écarté: OG0047112.fa (1 séquences, 1 espèces)
Écarté: OG0029695.fa (1 séquences, 1 espèces)
Écarté: OG0069549.fa (1 séquences, 1 espèces)
Écarté: OG0028840.fa (1 séquences, 1 espèces)
Écarté: OG0002137.fa (74 séquences, 17 espèces)
Écarté: OG0013434.fa (6 séquences, 1 espèces)
Écarté: OG0053483.fa (1 séquences, 1 espèces)
Écarté: OG0000872.fa (140 séquences, 17 espèces)
Écarté: OG0013875.fa (5 séquences, 3 espèces)
Écarté: OG0066501.fa (1 séquences, 1 espèces)
Écarté: OG0055618.fa (1 séquences, 1 espèces)
Écarté: OG0006140.fa (34 séquences, 17 espèces)
Écarté: OG0001237.fa (110 séquences, 17 espèces)
Écarté: OG0015801.fa (4 séquences, 1 espèces)
Écarté: OG0072592.fa (1 séquences, 1 espèces)
Écarté: OG0029424.fa (1 séquences, 1 espèces)
Écarté: OG0038422.fa (1 séquences, 1 espèces)
Écarté: OG0030162.fa (1 séquences, 1 espèces)
Écarté: OG0037619.fa (1 séquences, 1 espèces)
Écarté: OG0022715.fa (2 séquences, 1 espèces)
Écarté: OG0024989.fa (1 séquences, 1 espèces)
Écarté: OG0066129.fa (1 séquences, 1 espèces)
Écarté: OG0064198.fa (1 séquences, 1 espèces)
Écarté: OG0064513.fa (1 séquences, 1 espèces)
Écarté: OG0017140.fa (3 séquences, 1 espèces)
Écarté: OG0034693.fa (1 séquences, 1 espèces)
Écarté: OG0071405.fa (1 séquences, 1 espèces)
Écarté: OG0011705.fa (9 séquences, 4 espèces)
Écarté: OG0033530.fa (1 séquences, 1 espèces)
Écarté: OG0052676.fa (1 séquences, 1 espèces)
Écarté: OG0010831.fa (12 séquences, 1 espèces)
Écarté: OG0012461.fa (7 séquences, 3 espèces)
Écarté: OG0025794.fa (1 séquences, 1 espèces)
Écarté: OG0002865.fa (60 séquences, 17 espèces)
Écarté: OG0010046.fa (18 séquences, 2 espèces)
Écarté: OG0027026.fa (1 séquences, 1 espèces)
Écarté: OG0004306.fa (45 séquences, 4 espèces)
Écarté: OG0065129.fa (1 séquences, 1 espèces)
Écarté: OG0019456.fa (2 séquences, 1 espèces)
Écarté: OG0029550.fa (1 séquences, 1 espèces)
Écarté: OG0057184.fa (1 séquences, 1 espèces)
Écarté: OG0015061.fa (4 séquences, 1 espèces)
Écarté: OG0071246.fa (1 séquences, 1 espèces)
Écarté: OG0033243.fa (1 séquences, 1 espèces)
Écarté: OG0047380.fa (1 séquences, 1 espèces)
Écarté: OG0033171.fa (1 séquences, 1 espèces)
Écarté: OG0038511.fa (1 séquences, 1 espèces)
Écarté: OG0062836.fa (1 séquences, 1 espèces)
Écarté: OG0033236.fa (1 séquences, 1 espèces)
Écarté: OG0027473.fa (1 séquences, 1 espèces)
Écarté: OG0009530.fa (21 séquences, 14 espèces)
Écarté: OG0060837.fa (1 séquences, 1 espèces)
Écarté: OG0012300.fa (7 séquences, 2 espèces)
Écarté: OG0050810.fa (1 séquences, 1 espèces)
Écarté: OG0050176.fa (1 séquences, 1 espèces)
Écarté: OG0021049.fa (2 séquences, 1 espèces)
Écarté: OG0036998.fa (1 séquences, 1 espèces)
Écarté: OG0026780.fa (1 séquences, 1 espèces)
Écarté: OG0061360.fa (1 séquences, 1 espèces)
Écarté: OG0037960.fa (1 séquences, 1 espèces)
Écarté: OG0015304.fa (4 séquences, 2 espèces)
Écarté: OG0045961.fa (1 séquences, 1 espèces)
Écarté: OG0022540.fa (2 séquences, 1 espèces)
Écarté: OG0026009.fa (1 séquences, 1 espèces)
Écarté: OG0050125.fa (1 séquences, 1 espèces)
Écarté: OG0057281.fa (1 séquences, 1 espèces)
Écarté: OG0020745.fa (2 séquences, 1 espèces)
Écarté: OG0046743.fa (1 séquences, 1 espèces)
Écarté: OG0053196.fa (1 séquences, 1 espèces)
Écarté: OG0064775.fa (1 séquences, 1 espèces)
Écarté: OG0016488.fa (3 séquences, 1 espèces)
Écarté: OG0042565.fa (1 séquences, 1 espèces)
Écarté: OG0002663.fa (64 séquences, 3 espèces)
Écarté: OG0056476.fa (1 séquences, 1 espèces)
Écarté: OG0003597.fa (51 séquences, 17 espèces)
Écarté: OG0062793.fa (1 séquences, 1 espèces)
Écarté: OG0068215.fa (1 séquences, 1 espèces)
Écarté: OG0070497.fa (1 séquences, 1 espèces)
Écarté: OG0022990.fa (2 séquences, 1 espèces)
Écarté: OG0040275.fa (1 séquences, 1 espèces)
Écarté: OG0005562.fa (36 séquences, 15 espèces)
Écarté: OG0027218.fa (1 séquences, 1 espèces)
Écarté: OG0034979.fa (1 séquences, 1 espèces)
Écarté: OG0031887.fa (1 séquences, 1 espèces)
Écarté: OG0050696.fa (1 séquences, 1 espèces)
Écarté: OG0051561.fa (1 séquences, 1 espèces)
Écarté: OG0029393.fa (1 séquences, 1 espèces)
Écarté: OG0068566.fa (1 séquences, 1 espèces)
Écarté: OG0011127.fa (11 séquences, 2 espèces)
Écarté: OG0036017.fa (1 séquences, 1 espèces)
Écarté: OG0048433.fa (1 séquences, 1 espèces)
Écarté: OG0030015.fa (1 séquences, 1 espèces)
Écarté: OG0033328.fa (1 séquences, 1 espèces)
Écarté: OG0037971.fa (1 séquences, 1 espèces)
Écarté: OG0045458.fa (1 séquences, 1 espèces)
Écarté: OG0009706.fa (20 séquences, 10 espèces)
Écarté: OG0006097.fa (34 séquences, 17 espèces)
Écarté: OG0043971.fa (1 séquences, 1 espèces)
Écarté: OG0029160.fa (1 séquences, 1 espèces)
Écarté: OG0050660.fa (1 séquences, 1 espèces)
Écarté: OG0073152.fa (1 séquences, 1 espèces)
Écarté: OG0043731.fa (1 séquences, 1 espèces)
Écarté: OG0039801.fa (1 séquences, 1 espèces)
Écarté: OG0031595.fa (1 séquences, 1 espèces)
Écarté: OG0066348.fa (1 séquences, 1 espèces)
Écarté: OG0015797.fa (4 séquences, 1 espèces)
Écarté: OG0058564.fa (1 séquences, 1 espèces)
Écarté: OG0054426.fa (1 séquences, 1 espèces)
Écarté: OG0022897.fa (2 séquences, 2 espèces)
Écarté: OG0071125.fa (1 séquences, 1 espèces)
Écarté: OG0006912.fa (31 séquences, 17 espèces)
Écarté: OG0065634.fa (1 séquences, 1 espèces)
Écarté: OG0062647.fa (1 séquences, 1 espèces)
Écarté: OG0019595.fa (2 séquences, 1 espèces)
Écarté: OG0003961.fa (47 séquences, 17 espèces)
Écarté: OG0054562.fa (1 séquences, 1 espèces)
Écarté: OG0034421.fa (1 séquences, 1 espèces)
Écarté: OG0062993.fa (1 séquences, 1 espèces)
Écarté: OG0006627.fa (32 séquences, 17 espèces)
Écarté: OG0073406.fa (1 séquences, 1 espèces)
Écarté: OG0050771.fa (1 séquences, 1 espèces)
Écarté: OG0016375.fa (3 séquences, 1 espèces)
Écarté: OG0045685.fa (1 séquences, 1 espèces)
Écarté: OG0043002.fa (1 séquences, 1 espèces)
Écarté: OG0071019.fa (1 séquences, 1 espèces)
Écarté: OG0054698.fa (1 séquences, 1 espèces)
Écarté: OG0014065.fa (5 séquences, 3 espèces)
Écarté: OG0007503.fa (29 séquences, 16 espèces)
Écarté: OG0072331.fa (1 séquences, 1 espèces)
Écarté: OG0018902.fa (2 séquences, 2 espèces)
Écarté: OG0071874.fa (1 séquences, 1 espèces)
Écarté: OG0031857.fa (1 séquences, 1 espèces)
Écarté: OG0059489.fa (1 séquences, 1 espèces)
Écarté: OG0054297.fa (1 séquences, 1 espèces)
Écarté: OG0035373.fa (1 séquences, 1 espèces)
Écarté: OG0062677.fa (1 séquences, 1 espèces)
Écarté: OG0004444.fa (43 séquences, 16 espèces)
Écarté: OG0026369.fa (1 séquences, 1 espèces)
Écarté: OG0046927.fa (1 séquences, 1 espèces)
Écarté: OG0042541.fa (1 séquences, 1 espèces)
Écarté: OG0000512.fa (200 séquences, 15 espèces)
Écarté: OG0047448.fa (1 séquences, 1 espèces)
Écarté: OG0020251.fa (2 séquences, 2 espèces)
Écarté: OG0031061.fa (1 séquences, 1 espèces)
Écarté: OG0010665.fa (13 séquences, 9 espèces)
Écarté: OG0060224.fa (1 séquences, 1 espèces)
Écarté: OG0056364.fa (1 séquences, 1 espèces)
Écarté: OG0038506.fa (1 séquences, 1 espèces)
Écarté: OG0009561.fa (21 séquences, 13 espèces)
Écarté: OG0068347.fa (1 séquences, 1 espèces)
Écarté: OG0003214.fa (56 séquences, 17 espèces)
Écarté: OG0026438.fa (1 séquences, 1 espèces)
Écarté: OG0039445.fa (1 séquences, 1 espèces)
Écarté: OG0046678.fa (1 séquences, 1 espèces)
Écarté: OG0053730.fa (1 séquences, 1 espèces)
Écarté: OG0025851.fa (1 séquences, 1 espèces)
Écarté: OG0055348.fa (1 séquences, 1 espèces)
Retenu: OG0007872.fa (28 séquences, 17 espèces)
Écarté: OG0002692.fa (63 séquences, 17 espèces)
Écarté: OG0045413.fa (1 séquences, 1 espèces)
Écarté: OG0071302.fa (1 séquences, 1 espèces)
Écarté: OG0059011.fa (1 séquences, 1 espèces)
Écarté: OG0030993.fa (1 séquences, 1 espèces)
Écarté: OG0013938.fa (5 séquences, 2 espèces)
Retenu: OG0007338.fa (30 séquences, 17 espèces)
Écarté: OG0010083.fa (17 séquences, 9 espèces)
Écarté: OG0039453.fa (1 séquences, 1 espèces)
Écarté: OG0018217.fa (3 séquences, 1 espèces)
Écarté: OG0069320.fa (1 séquences, 1 espèces)
Écarté: OG0049457.fa (1 séquences, 1 espèces)
Écarté: OG0026134.fa (1 séquences, 1 espèces)
Écarté: OG0005722.fa (36 séquences, 17 espèces)
Écarté: OG0026478.fa (1 séquences, 1 espèces)
Écarté: OG0066715.fa (1 séquences, 1 espèces)
Écarté: OG0032316.fa (1 séquences, 1 espèces)
Écarté: OG0070368.fa (1 séquences, 1 espèces)
Écarté: OG0054837.fa (1 séquences, 1 espèces)
Écarté: OG0030753.fa (1 séquences, 1 espèces)
Écarté: OG0052532.fa (1 séquences, 1 espèces)
Écarté: OG0028134.fa (1 séquences, 1 espèces)
Écarté: OG0067816.fa (1 séquences, 1 espèces)
Écarté: OG0006268.fa (33 séquences, 17 espèces)
Écarté: OG0017041.fa (3 séquences, 1 espèces)
Écarté: OG0057732.fa (1 séquences, 1 espèces)
Écarté: OG0011761.fa (9 séquences, 2 espèces)
Écarté: OG0041389.fa (1 séquences, 1 espèces)
Écarté: OG0005427.fa (37 séquences, 17 espèces)
Écarté: OG0003083.fa (57 séquences, 16 espèces)
Écarté: OG0016964.fa (3 séquences, 1 espèces)
Écarté: OG0025567.fa (1 séquences, 1 espèces)
Écarté: OG0003283.fa (55 séquences, 17 espèces)
Écarté: OG0000536.fa (195 séquences, 16 espèces)
Écarté: OG0036050.fa (1 séquences, 1 espèces)
Écarté: OG0013127.fa (6 séquences, 4 espèces)
Écarté: OG0056118.fa (1 séquences, 1 espèces)
Écarté: OG0012692.fa (7 séquences, 3 espèces)
Écarté: OG0028045.fa (1 séquences, 1 espèces)
Écarté: OG0012637.fa (7 séquences, 1 espèces)
Écarté: OG0019790.fa (2 séquences, 1 espèces)
Écarté: OG0023982.fa (2 séquences, 1 espèces)
Écarté: OG0017489.fa (3 séquences, 1 espèces)
Écarté: OG0006707.fa (32 séquences, 17 espèces)
Écarté: OG0025610.fa (1 séquences, 1 espèces)
Écarté: OG0032924.fa (1 séquences, 1 espèces)
Écarté: OG0009766.fa (20 séquences, 4 espèces)
Écarté: OG0019107.fa (2 séquences, 1 espèces)
Écarté: OG0012625.fa (7 séquences, 2 espèces)
Écarté: OG0011750.fa (9 séquences, 2 espèces)
Écarté: OG0062566.fa (1 séquences, 1 espèces)
Écarté: OG0039307.fa (1 séquences, 1 espèces)
Écarté: OG0042229.fa (1 séquences, 1 espèces)
Écarté: OG0013849.fa (5 séquences, 1 espèces)
Écarté: OG0028961.fa (1 séquences, 1 espèces)
Écarté: OG0054001.fa (1 séquences, 1 espèces)
Écarté: OG0045355.fa (1 séquences, 1 espèces)
Écarté: OG0061636.fa (1 séquences, 1 espèces)
Écarté: OG0013228.fa (6 séquences, 2 espèces)
Écarté: OG0028321.fa (1 séquences, 1 espèces)
Écarté: OG0066879.fa (1 séquences, 1 espèces)
Écarté: OG0025800.fa (1 séquences, 1 espèces)
Écarté: OG0003674.fa (50 séquences, 16 espèces)
Écarté: OG0044556.fa (1 séquences, 1 espèces)
Écarté: OG0033739.fa (1 séquences, 1 espèces)
Écarté: OG0040558.fa (1 séquences, 1 espèces)
Écarté: OG0030821.fa (1 séquences, 1 espèces)
Écarté: OG0021747.fa (2 séquences, 1 espèces)
Écarté: OG0027972.fa (1 séquences, 1 espèces)
Écarté: OG0037102.fa (1 séquences, 1 espèces)
Écarté: OG0051752.fa (1 séquences, 1 espèces)
Écarté: OG0031839.fa (1 séquences, 1 espèces)
Écarté: OG0004088.fa (46 séquences, 17 espèces)
Écarté: OG0020363.fa (2 séquences, 2 espèces)
Écarté: OG0014865.fa (4 séquences, 1 espèces)
Écarté: OG0015363.fa (4 séquences, 2 espèces)
Écarté: OG0000953.fa (131 séquences, 17 espèces)
Écarté: OG0003786.fa (49 séquences, 17 espèces)
Écarté: OG0063682.fa (1 séquences, 1 espèces)
Écarté: OG0067233.fa (1 séquences, 1 espèces)
Écarté: OG0028934.fa (1 séquences, 1 espèces)
Écarté: OG0055414.fa (1 séquences, 1 espèces)
Écarté: OG0018552.fa (2 séquences, 1 espèces)
Écarté: OG0015509.fa (4 séquences, 2 espèces)
Écarté: OG0039747.fa (1 séquences, 1 espèces)
Écarté: OG0010957.fa (12 séquences, 3 espèces)
Écarté: OG0020597.fa (2 séquences, 1 espèces)
Écarté: OG0000180.fa (340 séquences, 7 espèces)
Écarté: OG0020304.fa (2 séquences, 1 espèces)
Écarté: OG0047407.fa (1 séquences, 1 espèces)
Écarté: OG0002545.fa (66 séquences, 16 espèces)
Écarté: OG0038504.fa (1 séquences, 1 espèces)
Écarté: OG0020778.fa (2 séquences, 1 espèces)
Écarté: OG0051592.fa (1 séquences, 1 espèces)
Écarté: OG0051376.fa (1 séquences, 1 espèces)
Écarté: OG0021053.fa (2 séquences, 1 espèces)
Écarté: OG0036652.fa (1 séquences, 1 espèces)
Écarté: OG0026609.fa (1 séquences, 1 espèces)
Écarté: OG0026517.fa (1 séquences, 1 espèces)
Écarté: OG0001053.fa (123 séquences, 6 espèces)
Écarté: OG0055817.fa (1 séquences, 1 espèces)
Écarté: OG0011095.fa (11 séquences, 2 espèces)
Écarté: OG0056287.fa (1 séquences, 1 espèces)
Écarté: OG0016534.fa (3 séquences, 1 espèces)
Écarté: OG0040435.fa (1 séquences, 1 espèces)
Écarté: OG0001727.fa (87 séquences, 17 espèces)
